os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 22.04.1 LTS,11th Gen Intel Core i5-11400 @ 2.60GHz,UHD Graphics 730,65647272,5.15.0-50-generic,4.6 Mesa 22.2.0-devel,powersave
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
141.764,7054,8.45771,0,32,0,0,0,0,0,12.3384,51331500
143.349,6976,8.45771,0,32,0,0,0,0,0,12.3384,151511987
138.504,7220,8.45771,0,32,0,0,0,0,0,12.3384,251605639
123.092,8124,8.45771,0,32,0,0,0,0,0,12.3384,351736772
143.493,6969,8.45771,0,32,0,0,0,0,0,12.3384,451832726
143.266,6980,8.45771,0,32,0,0,0,0,0,12.3384,551981661
143.843,6952,7.26351,0,32,0,0,0,0,0,12.3384,652086871
155.279,6440,7.26351,0,32,0,0,0,0,0,12.3384,752210207
159.591,6266,7.26351,0,32,0,0,0,0,0,12.3384,852302831
85.9623,11633,7.26351,0,32,0,0,0,0,0,12.3384,952510859
98.464,10156,7.26351,0,32,0,0,0,0,0,12.3384,1052696645
119.133,8394,9.18033,0,31,0,0,0,0,0,12.3431,1152885502
133.262,7504,9.18033,0,31,0,0,0,0,0,12.3431,1252964103
132.205,7564,9.18033,0,31,0,0,0,0,0,12.3431,1353073815
108.307,9233,9.18033,0,31,0,0,0,0,0,12.3431,1453187405
132.89,7525,9.18033,0,31,0,0,0,0,0,12.3431,1553362014
138.754,7207,5.94228,0,31,0,0,0,0,0,12.3431,1653533237
121.714,8216,5.94228,0,31,0,0,0,0,0,12.3431,1753650572
109.577,9126,5.94228,0,31,0,0,0,0,0,12.3431,1853735132
128.025,7811,5.94228,0,31,0,0,0,0,0,12.3431,1953826223
128.107,7806,5.94228,0,31,0,0,0,0,0,12.3431,2053910584
128.025,7811,9.18197,0,31,0,0,0,0,0,12.3488,2153989797
112.752,8869,9.18197,0,31,0,0,0,0,0,12.3488,2254068530
145.815,6858,9.18197,0,31,0,0,0,0,0,12.3488,2354253856
94.3307,10601,9.18197,0,31,0,0,0,0,0,12.3488,2454329604
149.768,6677,9.18197,0,31,0,0,0,0,0,12.3488,2554541395
134.409,7440,9.29054,0,31,0,0,0,0,0,12.3432,2654604952
96.1908,10396,9.29054,0,31,0,0,0,0,0,12.3432,2754721426
161.629,6187,9.29054,0,31,0,0,0,0,0,12.3432,2854794875
79.1766,12630,9.29054,0,31,0,0,0,0,0,12.3432,2954880494
133.636,7483,9.29054,0,31,0,0,0,0,0,12.3432,3054979201
142.939,6996,8.58086,0,31,0,0,0,0,0,12.3256,3155099243
116.171,8608,8.58086,0,31,0,0,0,0,0,12.3256,3255210847
142.939,6996,8.58086,0,31,0,0,0,0,0,12.3256,3355397354
142.552,7015,8.58086,0,31,0,0,0,0,0,12.3256,3455498017
133.138,7511,8.58086,0,31,0,0,0,0,0,12.3256,3555674272
142.146,7035,6.09137,0,31,0,0,0,0,0,12.3256,3655820560
102.859,9722,6.09137,0,31,0,0,0,0,0,12.3256,3755948415
143.205,6983,6.09137,0,31,0,0,0,0,0,12.3256,3856100189
144.383,6926,6.09137,0,31,0,0,0,0,0,12.3256,3956265769
147.776,6767,6.09137,0,31,0,0,0,0,0,12.3256,4056452099
142.288,7028,8.65225,0,31,0,0,0,0,0,12.3318,4156614165
121.153,8254,8.65225,0,31,0,0,0,0,0,12.3318,4256752650
126.247,7921,8.65225,0,31,0,0,0,0,0,12.3318,4356938510
123.518,8096,8.65225,0,31,0,0,0,0,0,12.3318,4457102449
136.556,7323,8.65225,0,31,0,0,0,0,0,12.3318,4557296177
111.982,8930,6.54362,0,31,0,0,0,0,0,12.3324,4657376116
94.5269,10579,6.54362,0,31,0,0,0,0,0,12.3324,4757504475
200.803,4980,6.54362,0,31,0,0,0,0,0,12.3324,4857575378
141.784,7053,6.54362,0,31,0,0,0,0,0,12.3324,4957662619
75.4888,13247,6.54362,0,31,0,0,0,0,0,12.3324,5057739856
75.7863,13195,8.80399,0,31,0,0,0,0,0,12.3496,5157906983
123.87,8073,8.80399,0,31,0,0,0,0,0,12.3496,5258054087
144.03,6943,8.80399,0,31,0,0,0,0,0,12.3496,5358219725
143,6993,8.80399,0,31,0,0,0,0,0,12.3496,5458391651
141.044,7090,8.80399,0,31,0,0,0,0,0,12.3496,5558512595
144.134,6938,6.70017,0,31,0,0,0,0,0,12.3499,5658599997
149.321,6697,6.70017,0,31,0,0,0,0,0,12.3499,5758691277
75.7461,13202,6.70017,0,31,0,0,0,0,0,12.3499,5858777444
101.286,9873,6.70017,0,31,0,0,0,0,0,12.3499,5958887635
107.204,9328,6.70017,0,31,0,0,0,0,0,12.3499,6059008489
146.929,6806,9.3178,0,31,0,0,0,0,0,12.3477,6159097184
131.961,7578,9.3178,0,31,0,0,0,0,0,12.3477,6259203899
131.648,7596,9.3178,0,31,0,0,0,0,0,12.3477,6359297112
141.403,7072,9.3178,0,31,0,0,0,0,0,12.3477,6459384505
117.925,8480,9.3178,0,31,0,0,0,0,0,12.3477,6559494794
132.083,7571,7.19064,0,31,0,0,0,0,0,12.3465,6659561367
154.036,6492,7.19064,0,31,0,0,0,0,0,12.3465,6759630995
117.869,8484,7.19064,0,31,0,0,0,0,0,12.3465,6859694233
137.722,7261,7.19064,0,31,0,0,0,0,0,12.3465,6959795175
92.9714,10756,7.19064,0,31,0,0,0,0,0,12.3465,7059893782
93.5279,10692,9.91597,0,31,0,0,0,0,0,12.3417,7159978756
110.828,9023,9.91597,0,31,0,0,0,0,0,12.3417,7260067268
657.03,1522,9.91597,0,31,0,0,0,0,0,12.3417,7360165034
113.623,8801,9.91597,0,31,0,0,0,0,0,12.3417,7460364263
89.1186,11221,9.91597,0,31,0,0,0,0,0,12.3417,7560469210
138.389,7226,7.80731,0,31,0,0,0,0,0,12.3411,7660642429
107.112,9336,7.80731,0,31,0,0,0,0,0,12.3411,7760721018
162.707,6146,7.80731,0,31,0,0,0,0,0,12.3411,7860833625
157.53,6348,7.80731,0,31,0,0,0,0,0,12.3411,7960957403
92.3873,10824,7.80731,0,31,0,0,0,0,0,12.3411,8061097478
130.157,7683,9.54774,0,32,0,0,0,0,0,12.3444,8161249044
111,9009,9.54774,0,32,0,0,0,0,0,12.3444,8261407941
125.423,7973,9.54774,0,32,0,0,0,0,0,12.3444,8361539278
102.103,9794,9.54774,0,32,0,0,0,0,0,12.3444,8461696615
147.362,6786,9.54774,0,32,0,0,0,0,0,12.3444,8561829954
97.6181,10244,7.92079,0,32,0,0,0,0,0,12.3444,8662006754
93.1793,10732,7.92079,0,32,0,0,0,0,0,12.3444,8762161760
155.642,6425,7.92079,0,32,0,0,0,0,0,12.3444,8862279788
99.4135,10059,7.92079,0,32,0,0,0,0,0,12.3444,8962443615
129.182,7741,7.92079,0,32,0,0,0,0,0,12.3444,9062609080
118.92,8409,8.52843,0,32,0,0,0,0,0,12.3528,9162771601
122.07,8192,8.52843,0,32,0,0,0,0,0,12.3528,9262946682
111.359,8980,8.52843,0,32,0,0,0,0,0,12.3528,9363108610
93.4929,10696,8.52843,0,32,0,0,0,0,0,12.3528,9463280251
130.565,7659,8.52843,0,32,0,0,0,0,0,12.3528,9563404536
102.208,9784,6.66667,0,32,0,0,0,0,0,12.3531,9663580228
90.9422,10996,6.66667,0,32,0,0,0,0,0,12.3531,9763675603
167.645,5965,6.66667,0,32,0,0,0,0,0,12.3531,9863785681
98.2415,10179,6.66667,0,32,0,0,0,0,0,12.3531,9963871601
112.208,8912,6.66667,0,32,0,0,0,0,0,12.3531,10063955579
114.443,8738,9.59596,0,32,0,0,0,0,0,12.365,10164051578
123.077,8125,9.59596,0,32,0,0,0,0,0,12.365,10264220469
122.519,8162,9.59596,0,32,0,0,0,0,0,12.365,10364372034
99.0295,10098,9.59596,0,32,0,0,0,0,0,12.365,10464499987
134.354,7443,9.59596,0,32,0,0,0,0,0,12.365,10564642972
117.98,8476,5.90219,0,32,0,0,0,0,0,12.365,10664789112
95.3198,10491,5.90219,0,32,0,0,0,0,0,12.365,10764907332
152.975,6537,5.90219,0,32,0,0,0,0,0,12.365,10865052499
114.364,8744,5.90219,0,32,0,0,0,0,0,12.365,10965199872
112.625,8879,5.90219,0,32,0,0,0,0,0,12.365,11065349513
159.058,6287,9.90099,0,32,0,0,0,0,0,12.3764,11165445674
164.258,6088,9.90099,0,32,0,0,0,0,0,12.3764,11265559949
98.9903,10102,9.90099,0,32,0,0,0,0,0,12.3764,11365700891
142.98,6994,9.90099,0,32,0,0,0,0,0,12.3764,11465858177
146.413,6830,9.90099,0,32,0,0,0,0,0,12.3764,11566005008
103.072,9702,6.89076,0,32,0,0,0,0,0,12.3518,11666153649
93.5891,10685,6.89076,0,32,0,0,0,0,0,12.3518,11766313624
163.479,6117,6.89076,0,32,0,0,0,0,0,12.3518,11866392692
115.154,8684,6.89076,0,32,0,0,0,0,0,12.3518,11966554125
132.275,7560,6.89076,0,32,0,0,0,0,0,12.3518,12066636553
94.7149,10558,7.69231,0,31,0,0,0,0,0,12.3491,12166721371
138.543,7218,7.69231,0,31,0,0,0,0,0,12.3491,12266821858
142.41,7022,7.69231,0,31,0,0,0,0,0,12.3491,12366897663
139.645,7161,7.69231,0,31,0,0,0,0,0,12.3491,12467038537
144.823,6905,7.69231,0,31,0,0,0,0,0,12.3491,12567161141
111.607,8960,7.46269,0,31,0,0,0,0,0,12.3491,12667246821
92.4813,10813,7.46269,0,31,0,0,0,0,0,12.3491,12767386227
146.821,6811,7.46269,0,31,0,0,0,0,0,12.3491,12867492249
135.41,7385,7.46269,0,31,0,0,0,0,0,12.3491,12967650955
131.7,7593,7.46269,0,31,0,0,0,0,0,12.3491,13067736371
